message_text,is_scam
Your courier address is incorrect. Update it immediately using this link. Complete this within one hour.,1
Your SIM card will be deactivated. Complete KYC using this link. Failure to act may block the service.,1
Your bank has detected fraud. Tell us the OTP to secure your account.,1
I reached college safely. I will call after class. See you then.,0
Your mobile recharge was successful. Please confirm.,0
Your Netflix account payment failed. Update card details now.,1
Please check your college email for the notice.,0
आपकी अपॉइंटमेंट मंगलवार सुबह 11 बजे है।,0
"Meeting shifted to 4pm tomorrow, please confirm.",0
Court summons issued against you. Contact this number immediately.,1
The college bus leaves at 8 AM tomorrow. Let me know when you are free.,0
Your UPI refund is waiting. Approve the payment request to receive the money. Complete this within one hour.,1
Your debit card has been used suspiciously. Share the OTP to block the transaction. Do not delay.,1
Urgent: suspicious transaction detected. Click to secure your account.,1
Your electricity bill is due on the 20th. Please check.,0
Your internship interview is scheduled for Wednesday. Please check. Please use the official app to check.,0
"Congratulations! You have won ₹75,000. Pay the processing fee to claim your prize. Do not delay.",1
Your electricity connection will be disconnected tonight. Pay the pending bill now. Complete this within one hour.,1
Your debit card delivery is scheduled for Friday.,0
The movie starts at 7:30 PM.,0
Your account balance was updated after the transaction.,0
Your insurance policy is eligible for a bonus. Click to claim.,1
The principal will address students at noon.,0
URGENT: Your bank account will be suspended today. Verify your details immediately. Complete this within one hour.,1
Your UPI payment of ₹250 was successful. See you then.,0
Your payment receipt is available in the official app. See you then.,0
Security warning: install this app to protect your bank account.,1
Your UPI payment of ₹250 was successful. Please check.,0
Your library book is due next Monday. Thank you.,0
Your debit card has been used in another city. Call this number now.,1
Your income tax refund is pending. Enter your bank details to receive it. Failure to act may block the service.,1
URGENT: Your bank account will be suspended today. Verify your details immediately. Failure to act may block the service.,1
Your parcel is on hold. Pay Rs 25 delivery fee using this link.,1
Your payment receipt is available in the official app. Please check.,0
"ಮನೆಯಿಂದ ಕೆಲಸ ಮಾಡಿ ದಿನಕ್ಕೆ ₹5,000 ಗಳಿಸಿ. ಮೊದಲು ನೋಂದಣಿ ಶುಲ್ಕ ಪಾವತಿಸಿ. Do not delay.",1
Your order has been shipped and will arrive tomorrow. Please check.,0
ಇಂದಿನ ಕ್ಲಾಸ್‌ನ ನೋಟ್ಸ್ ಕಳುಹಿಸಬಹುದಾ? Please check.,0
"बधाई हो! आपने ₹50,000 की लॉटरी जीती है। इनाम लेने के लिए शुल्क जमा करें। Act now.",1
ನಿಮ್ಮ UPI ಖಾತೆ ಲಾಕ್ ಆಗಲಿದೆ. OTP ಕಳುಹಿಸಿ ಪರಿಶೀಲನೆ ಪೂರ್ಣಗೊಳಿಸಿ. Failure to act may block the service.,1
The project meeting has been moved to Monday. Thank you.,0
Please remember to bring your ID card tomorrow. Please confirm.,0
Your Aadhaar verification failed. Share the OTP to complete verification. Failure to act may block the service.,1
Your appointment is confirmed for tomorrow at 11 AM. Please confirm.,0
Your payment receipt is available in the official app. Let me know when you are free.,0
Your Aadhaar verification failed. Share the OTP to complete verification. Do this immediately.,1
Job offer confirmed. Send Aadhaar and bank details to complete joining.,1
Your PAN card is suspended. Click to update your information.,1
I have reached the library.,0
Police notice: legal action has been initiated against your number. Contact us immediately. Do not delay. Please use the official app to check.,1
Your UPI refund is waiting. Approve the payment request to receive the money. Failure to act may block the service.,1
You have been shortlisted for a work-from-home job. Pay the registration fee to start. Act now.,1
You have been shortlisted for a work-from-home job. Pay the registration fee to start. Do this immediately.,1
Can you send me the project presentation? Please confirm.,0
Your online shopping refund failed. Enter card details again.,1
"तुरंत अपना KYC अपडेट करें, वरना आपका बैंक खाता बंद हो जाएगा। लिंक पर क्लिक करें। Act now.",1
Your electricity connection will be disconnected tonight. Pay the pending bill now. Do this immediately.,1
Your KYC has expired. Click the verification link to keep your account active. Failure to act may block the service.,1
आपका UPI बंद होने वाला है। अभी OTP भेजकर सत्यापन पूरा करें। Act now.,1
Your bank account has suspicious activity. Share OTP immediately.,1
Your salary has been credited to your account. Let me know when you are free.,0
You have been selected for an investment bonus. Deposit money to activate.,1
Your account has been flagged. Share OTP for security verification.,1
Your UPI account is locked. Enter your PIN to reactivate it. Failure to act may block the service.,1
The assignment deadline has been extended by two days. Let me know when you are free.,0
You have been shortlisted for a work-from-home job. Pay the registration fee to start. Complete this within one hour.,1
Your mobile wallet has won a reward. Verify your account now.,1
The project meeting has been moved to Monday. See you then.,0
The workshop registration is confirmed. Please use the official app to check.,0
"Congratulations! You have won ₹75,000. Pay the processing fee to claim your prize. Complete this within one hour.",1
Police notice: legal action has been initiated against your number. Contact us immediately. Failure to act may block the service.,1
Your library book is due next Monday. Please confirm.,0
I am waiting outside the library.,0
Your library book is due next Monday. See you then.,0
Your hotel reservation is confirmed for Saturday.,0
The project meeting has been moved to Monday. See you then. Please use the official app to check.,0
"Earn ₹5,000 daily by completing online tasks. Deposit money to activate your account. Complete this within one hour.",1
Government scholarship approved. Pay the document verification fee to receive the amount. Verify now.,1
ನಿಮ್ಮ UPI ಖಾತೆ ಲಾಕ್ ಆಗಲಿದೆ. OTP ಕಳುಹಿಸಿ ಪರಿಶೀಲನೆ ಪೂರ್ಣಗೊಳಿಸಿ. Failure to act may block the service. Please use the official app to check.,1
Your electricity bill payment was successful.,0
The workshop registration is confirmed. See you then.,0
Your library book is due next Monday. Thank you. Please use the official app to check.,0
The hostel maintenance work is scheduled for tomorrow.,0
"Congratulations, you are eligible for a Rs 2 lakh personal loan. Pay processing fee.",1
Your courier address is incorrect. Update it immediately using this link. Verify now.,1
Your payment receipt is available in the official app. Thank you.,0
I'll meet you near the college gate at 5.,0
The package was delivered to your address.,0
I will meet you near the college gate at 5 PM. See you then.,0
Your debit card has been used suspiciously. Share the OTP to block the transaction. Failure to act may block the service.,1
Your UPI payment of ₹250 was successful. Let me know when you are free.,0
Can you send me the project presentation? See you then. Please use the official app to check.,0
Your parcel delivery failed. Confirm your address and card details.,1
Please check the college portal for the exam timetable. Let me know when you are free.,0
Please carry a pen and notebook for the test.,0
Please check the group chat for today's meeting link.,0
ನಿಮ್ಮ ಆರ್ಡರ್ ನಾಳೆ ಡೆಲಿವರಿ ಆಗಲಿದೆ. See you then.,0
The college holiday notice has been posted.,0
Your loan application needs a refundable security deposit.,1
Your electricity subsidy will expire today. Verify bank details.,1
"Earn ₹5,000 daily by completing online tasks. Deposit money to activate your account. Do not delay.",1
Congratulations! You are today's lucky customer. Claim your cash reward.,1
Job vacancy: Earn Rs 5000 daily from home. Pay Rs 999 joining fee.,1
"तुरंत अपना KYC अपडेट करें, वरना आपका बैंक खाता बंद हो जाएगा। लिंक पर क्लिक करें। Act now. Please use the official app to check.",1
The refund has been processed and will appear in your account soon.,0
Congratulations! You won a smartphone. Pay courier charges now.,1
"मैं कॉलेज पहुंच गई हूं, क्लास के बाद फोन करूंगी।",0
Your train ticket booking is confirmed.,0
Your parcel is held at customs. Pay the clearance charge to receive delivery. Failure to act may block the service.,1
Your electricity bill is due on the 20th. Please check. Please use the official app to check.,0
Your parcel could not be delivered. Pay the pending amount now.,1
Your KYC will expire today. Update immediately: bit.ly/xyz123,1
"मैं कॉलेज पहुंच गई हूं, क्लास के बाद फोन करूंगी। Please use the official app to check.",0
I reached college safely. I will call after class. Please check.,0
Your WhatsApp account will be blocked. Verify your account immediately. Complete this within one hour.,1
Your parcel is held at customs. Pay the clearance charge to receive delivery. Do not delay.,1
The project meeting has been moved to Monday. Please confirm.,0
Your online banking password has expired. Confirm your password through this link. Failure to act may block the service.,1
Your courier address is incorrect. Update it immediately here.,1
The college bus leaves at 8 AM tomorrow. See you then.,0
Your monthly salary has been credited to your account.,0
Your PAN-Aadhaar link has failed. Click to fix it immediately.,1
You are eligible for a ₹3 lakh instant loan. Pay the verification fee first. Complete this within one hour.,1
Your Aadhaar verification failed. Share the OTP to complete verification. Do this immediately. Please use the official app to check.,1
Your credit card reward points expire today. Click to redeem.,1
Please remember to bring your ID card tomorrow.,0
Your UPI refund is waiting. Approve the payment request to receive the money. Do not delay.,1
Your library membership has been renewed.,0
ನಿಮ್ಮ ಪಾರ್ಸೆಲ್ ಕಸ್ಟಮ್ಸ್‌ನಲ್ಲಿ ನಿಂತಿದೆ. ಡೆಲಿವರಿಗಾಗಿ ಶುಲ್ಕ ಪಾವತಿಸಿ. Do this immediately.,1
Government scholarship approved. Pay the document verification fee to receive the amount. Failure to act may block the service.,1
Your internship interview is scheduled for Wednesday. Thank you.,0
आपका पार्सल कस्टम में रुका है। डिलीवरी के लिए शुल्क भरें। Act now.,1
Your courier address is incorrect. Update it immediately using this link. Failure to act may block the service.,1
Your credit card reward points expire today. Click here to redeem them. Complete this within one hour.,1
Please send me the notes from today's class. Please confirm.,0
Your courier address is incorrect. Update it immediately using this link. Failure to act may block the service. Please use the official app to check.,1
Your login was successful from your registered device.,0
UPI cashback waiting. Scan this QR code to receive money.,1
Your parcel has reached the local delivery center. Thank you.,0
Government scholarship approved. Pay processing fee to release funds.,1
Your credit card cashback is waiting. Enter CVV to receive it.,1
आपका पार्सल कस्टम में रुका है। डिलीवरी के लिए शुल्क भरें। Act now. Please use the official app to check.,1
"Dad, I'm leaving college now. I'll be home by 6.",0
"ಮನೆಯಿಂದ ಕೆಲಸ ಮಾಡಿ ದಿನಕ್ಕೆ ₹5,000 ಗಳಿಸಿ. ಮೊದಲು ನೋಂದಣಿ ಶುಲ್ಕ ಪಾವತಿಸಿ. Do not delay. Please use the official app to check.",1
The teacher uploaded the assignment instructions.,0
Your order has been shipped and will arrive tomorrow.,0
Your UPI payment of ₹250 was successful. Let me know when you are free. Please use the official app to check.,0
Your UPI account is locked. Enter your PIN to reactivate it. Complete this within one hour.,1
Your KYC has expired. Click the verification link to keep your account active. Do not delay.,1
Your salary has been credited to your account. Please confirm.,0
Your online banking password has expired. Confirm your password through this link. Failure to act may block the service. Please use the official app to check.,1
You are eligible for a ₹3 lakh instant loan. Pay the verification fee first. Do this immediately.,1
Your electricity bill is due on the 20th. Please confirm.,0
Please check the college portal for the exam timetable. Thank you.,0
Your bank card expires today. Verify card details to renew it.,1
"Congratulations! You have won ₹75,000. Pay the processing fee to claim your prize. Verify now.",1
Please send me the notes from today's class. Thank you.,0
Your WhatsApp account will be blocked. Verify your account immediately. Do not delay.,1
I will meet you near the college gate at 5 PM. Let me know when you are free.,0
Your courier address is incorrect. Update it immediately using this link. Do not delay.,1
"कल की मीटिंग शाम 4 बजे है, कृपया समय पर आना।",0
Your mobile recharge of Rs 299 was successful.,0
Can you share the project presentation with me?,0
Please send me the notes from today's class. See you then.,0
The college bus leaves at 8 AM tomorrow. Please check.,0
The campus Wi-Fi password has been updated.,0
Your insurance bonus is ready. Click here and enter your card details. Complete this within one hour.,1
Your income tax refund is pending. Enter your bank details to receive it. Verify now.,1
Your mobile recharge refund failed. Enter your UPI PIN for a refund. Do this immediately.,1
You are eligible for a ₹3 lakh instant loan. Pay the verification fee first. Do not delay.,1
Government scholarship approved. Pay the document verification fee to receive the amount. Verify now. Please use the official app to check.,1
Your parcel has reached the local delivery center. Please use the official app to check.,0
Your appointment is confirmed for tomorrow at 11 AM.,0
The college seminar starts at 10 AM in the auditorium. Please confirm.,0
Your hotel reservation is confirmed for Saturday. Let me know when you are free.,0
Please call me when you reach home.,0
Your registration for the college fest is confirmed.,0
Your internship interview is scheduled for Wednesday.,0
Suspicious transaction detected. Call this number immediately to secure your bank account. Do not delay.,1
You have been selected for a work from home job. Pay registration fee.,1
आज के लेक्चर के नोट्स भेज देना।,0
"You've received Rs 10,000 cashback. Verify your bank details now.",1
Your appointment reminder is for tomorrow morning.,0
Your appointment is confirmed for tomorrow at 11 AM. Thank you.,0
Your SIM upgrade is ready. Share OTP with our executive.,1
You have won a lucky draw. Send your bank details for prize transfer. Do this immediately.,1
आपका बिजली कनेक्शन आज काट दिया जाएगा। तुरंत भुगतान करें। Act now.,1
Your hotel reservation is confirmed for Saturday. Please confirm.,0
Your mobile recharge refund failed. Enter your UPI PIN for a refund. Failure to act may block the service.,1
You have been shortlisted for a work-from-home job. Pay the registration fee to start. Failure to act may block the service.,1
Your courier contains an illegal item. Call this officer immediately.,1
Your online banking password has expired. Confirm your password through this link. Do not delay.,1
Your Google account has been compromised. Verify your password here.,1
Please check the college portal for the exam timetable. Let me know when you are free. Please use the official app to check.,0
Your UPI refund is waiting. Approve the payment request to receive the money. Failure to act may block the service. Please use the official app to check.,1
Your train ticket booking is confirmed. Please check.,0
The college bus leaves at 8 AM tomorrow. Please confirm.,0
Your account has been selected for a premium reward. Click to activate.,1
Your internship interview is scheduled for Wednesday. See you then.,0
Your Aadhaar verification failed. Share the OTP to complete verification. Verify now.,1
Your train ticket booking is confirmed. Please confirm.,0
Your insurance bonus is ready. Click here and enter your card details. Do this immediately.,1
आपकी अपॉइंटमेंट मंगलवार सुबह 11 बजे है। Please use the official app to check.,0
"Congratulations! You have won ₹75,000. Pay the processing fee to claim your prize. Verify now. Please use the official app to check.",1
Your UPI payment of ₹250 was successful. Please check. Please use the official app to check.,0
The bus is running ten minutes late today.,0
Dinner is ready. Come home when you can.,0
Your electricity connection will be disconnected tonight. Pay the pending bill now. Verify now.,1
The workshop registration is confirmed. Please check.,0
Your mobile recharge was successful. Thank you. Please use the official app to check.,0
The project deadline has been extended by two days.,0
Your loan is approved. Pay Rs 1500 verification charge to receive it.,1
Your food order has been delivered.,0
Refund approved. Enter your UPI PIN to receive money.,1
Please confirm if you are attending the workshop.,0
कृपया असाइनमेंट शुक्रवार तक जमा कर दें।,0
You are eligible for a special credit limit. Pay activation fee.,1
Your electricity bill has an overdue amount. Pay through this link.,1
"Earn ₹5,000 daily by completing online tasks. Deposit money to activate your account. Verify now.",1
Your mobile recharge refund failed. Enter your UPI PIN for a refund. Act now.,1
Police complaint registered against your mobile number. Call urgently.,1
Government scholarship approved. Pay the document verification fee to receive the amount. Complete this within one hour.,1
ನಿಮ್ಮ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಇಂದು ಕಡಿತಗೊಳ್ಳಲಿದೆ. ತಕ್ಷಣ ಬಿಲ್ ಪಾವತಿಸಿ. Verify now.,1
Your KYC has expired. Click the verification link to keep your account active. Complete this within one hour.,1
Your payment receipt is available in the official app. Please check. Please use the official app to check.,0
The team meeting is scheduled for Saturday.,0
Police notice: legal action has been initiated against your number. Contact us immediately. Act now.,1
The college seminar starts at 10 AM in the auditorium.,0
"Earn ₹5,000 daily by completing online tasks. Deposit money to activate your account. Do this immediately.",1
Police cyber cell alert: respond to this message immediately.,1
Your internship certificate is ready for collection.,0
"Congratulations! You have won ₹75,000. Pay the processing fee to claim your prize. Do this immediately.",1
Your WhatsApp account will be blocked. Verify your account immediately. Failure to act may block the service.,1
Your Aadhaar verification failed. Share the OTP to complete verification. Complete this within one hour.,1
Your electricity connection will be disconnected today. Pay now.,1
You have been shortlisted for a job. Pay interview security deposit.,1
Your debit card has been used suspiciously. Share the OTP to block the transaction. Do not delay. Please use the official app to check.,1
Your appointment is confirmed for tomorrow at 11 AM. Please confirm. Please use the official app to check.,0
Your parcel has reached the local delivery center. Please confirm.,0
Your FASTag is inactive. Complete KYC through this link.,1
You won Rs 1 lakh in an online contest. Pay tax to claim your prize.,1
Your order has been shipped and will arrive tomorrow. Please check. Please use the official app to check.,0
Your salary has been credited to your account. Thank you.,0
"Dear customer, your UPI PIN needs re-verification. Click here.",1
ಅಸೈನ್‌ಮೆಂಟ್ ಅನ್ನು ಶುಕ್ರವಾರದೊಳಗೆ ಸಲ್ಲಿಸಿ. Please confirm. Please use the official app to check.,0
The assignment deadline has been extended by two days. Please confirm.,0
Your credit card reward points expire today. Click here to redeem them. Do not delay. Please use the official app to check.,1
Your train ticket booking is confirmed. Thank you.,0
Your insurance bonus is ready. Click here and enter your card details. Do not delay.,1
Your courier address is incorrect. Update it immediately using this link. Verify now. Please use the official app to check.,1
Your WhatsApp account will be banned. Click this link to verify.,1
The teacher uploaded the assignment instructions. Let me know when you are free.,0
Suspicious transaction detected. Call this number immediately to secure your bank account. Complete this within one hour.,1
Account alert: unusual login detected. Confirm your password now.,1
URGENT: Your bank account will be suspended today. Verify your details immediately. Do this immediately.,1
Congratulations! Your number won a cash prize. Claim within 30 minutes.,1
Your order has been cancelled as requested.,0
Your credit card reward points expire today. Click here to redeem them. Verify now.,1
The teacher uploaded the assignment instructions. Let me know when you are free. Please use the official app to check.,0
Your exam hall ticket is available on the college portal.,0
Your library book is due next Monday. Let me know when you are free.,0
ನಿಮ್ಮ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಇಂದು ಕಡಿತಗೊಳ್ಳಲಿದೆ. ತಕ್ಷಣ ಬಿಲ್ ಪಾವತಿಸಿ. Verify now. Please use the official app to check.,1
Your mobile plan has been renewed.,0
ನಾನು ಕಾಲೇಜಿಗೆ ಸುರಕ್ಷಿತವಾಗಿ ಬಂದಿದ್ದೇನೆ. ಕ್ಲಾಸ್ ನಂತರ ಕರೆ ಮಾಡುತ್ತೇನೆ.,0
Please send me the notes from today's class. See you then. Please use the official app to check.,0
Your UPI payment of ₹250 was successful. Thank you.,0
Your parcel is held by customs. Pay clearance charges immediately.,1
Your online banking password has expired. Confirm your password through this link. Do this immediately.,1
Your monthly statement is available in your banking app.,0
You won a festival gift voucher. Pay ₹99 to unlock your reward. Do this immediately.,1
Please send me the document before lunch.,0
The payment receipt was sent to your registered email.,0
Your attendance has been updated in the student portal.,0
Your appointment is confirmed for tomorrow at 11 AM. Please check.,0
"Earn ₹5,000 daily by completing online tasks. Deposit money to activate your account. Failure to act may block the service.",1
कॉलेज बस सुबह 8 बजे निकलेगी।,0
Your UPI account is locked. Enter your PIN to reactivate it. Verify now.,1
"Hi amma, I reached college safely, will call after class.",0
You are eligible for a ₹3 lakh instant loan. Pay the verification fee first. Act now.,1
You have received a UPI collect request. Approve it to receive money.,1
I will meet you near the college gate at 5 PM. See you then. Please use the official app to check.,0
The college seminar starts at 10 AM in the auditorium. Thank you.,0
Happy birthday! Hope you have a great day.,0
"तुरंत अपना KYC अपडेट करें, वरना आपका बैंक खाता बंद हो जाएगा। लिंक पर क्लिक करें। Act now. Check the message carefully.",1
The project meeting has been moved to Monday. Thank you. Please use the official app to check.,0
I reached college safely. I will call after class. Thank you.,0
Your parcel is held at customs. Pay the clearance charge to receive delivery. Verify now.,1
Your electricity connection will be disconnected tonight. Pay the pending bill now. Failure to act may block the service.,1
Your insurance bonus is ready. Click here and enter your card details. Failure to act may block the service.,1
Your income tax refund is pending. Enter your bank details to receive it. Complete this within one hour.,1
Your order has been shipped and will arrive tomorrow. See you then.,0
Your ATM card will be blocked. Share OTP to reactivate it.,1
Your insurance bonus is ready. Click here and enter your card details. Complete this within one hour. Please use the official app to check.,1
You have an unpaid traffic fine. Pay today to avoid legal action.,1
I'll send the files after I finish the assignment.,0
Your WhatsApp account will be blocked. Verify your account immediately. Do this immediately.,1
Your WhatsApp account will be blocked. Verify your account immediately. Verify now.,1
Please check the college portal for the exam timetable. See you then.,0
Your bank account needs immediate PAN verification. Click here.,1
Your appointment is confirmed for Tuesday at 11 AM.,0
Suspicious transaction detected. Call this number immediately to secure your bank account. Verify now.,1
URGENT: Your bank account will be suspended today. Verify your details immediately. Act now.,1
Your credit card reward points expire today. Click here to redeem them. Failure to act may block the service.,1
Your hotel reservation is confirmed for Saturday. Please check.,0
Your mobile recharge refund failed. Enter your UPI PIN for a refund. Verify now.,1
Your parcel will arrive between 2 PM and 5 PM.,0
Your income tax refund is pending. Enter your bank details to receive it. Do not delay.,1
Your parcel has reached the local delivery center. See you then.,0
Your electricity bill is due on the 20th. See you then.,0
Bank security alert: send OTP to confirm this transaction.,1
I reached college safely. I will call after class.,0
Your parcel is held at customs. Pay the clearance charge to receive delivery. Do this immediately.,1
Your online class starts at 9 AM.,0
Your KYC has expired. Click the verification link to keep your account active. Do this immediately.,1
Your grocery order is ready for pickup.,0
Your mobile recharge was successful. See you then.,0
Please remember to bring your ID card tomorrow. Let me know when you are free.,0
The payment of Rs 500 was received successfully.,0
Your mobile recharge was successful. Please confirm. Please use the official app to check.,0
"घर बैठे ₹5,000 रोज कमाएं। नौकरी शुरू करने के लिए पहले रजिस्ट्रेशन फीस दें। Act now.",1
Your courier address is incorrect. Update it immediately using this link. Do this immediately.,1
The assignment deadline has been extended by two days. Please check.,0
Your doctor appointment is scheduled for 5 PM.,0
The college seminar starts at 10 AM in the auditorium. Let me know when you are free.,0
You have a pending refund. Send your UPI PIN for confirmation.,1
Please bring your laptop for the project meeting.,0
Your SIM card will be deactivated. Complete KYC using this link. Complete this within one hour.,1
आज के लेक्चर के नोट्स भेज देना। Please use the official app to check.,0
Earn money from home by completing simple tasks. Deposit first.,1
आपका UPI बंद होने वाला है। अभी OTP भेजकर सत्यापन पूरा करें। Act now. Please use the official app to check.,1
URGENT: Your bank account will be suspended today. Verify your details immediately. Verify now.,1
Police notice: legal action has been initiated against your number. Contact us immediately. Complete this within one hour.,1
The college seminar starts at 10 AM in the auditorium. Please check.,0
The meeting has been postponed to Monday.,0
The seminar room has changed to the auditorium.,0
Please bring the ID cards for tomorrow's event.,0
"ಅಭಿನಂದನೆಗಳು! ನೀವು ₹50,000 ಲಾಟರಿ ಗೆದ್ದಿದ್ದೀರಿ. ಬಹುಮಾನ ಪಡೆಯಲು ಶುಲ್ಕ ಪಾವತಿಸಿ. Complete this within one hour.",1
"Earn ₹5,000 daily by completing online tasks. Deposit money to activate your account. Act now.",1
Your salary has been credited to your account. See you then.,0
Please remember to bring your ID card tomorrow. Thank you.,0
Please send me the notes from today's class. Let me know when you are free.,0
The teacher uploaded the assignment instructions. Thank you.,0
Your order has been shipped and will arrive tomorrow. Thank you.,0
Suspicious transaction detected. Call this number immediately to secure your bank account. Failure to act may block the service.,1
I reached the bus stop. Where are you?,0
कॉलेज बस सुबह 8 बजे निकलेगी। Please use the official app to check.,0
Your debit card has been used suspiciously. Share the OTP to block the transaction. Do this immediately.,1
You won a festival gift voucher. Pay ₹99 to unlock your reward. Act now.,1
Your credit card has earned bonus points. Click to redeem before expiry.,1
Your online banking password has expired. Confirm your password through this link. Verify now. Please use the official app to check.,1
Please remember to carry your ID card tomorrow.,0
Your parcel has reached the local delivery center. Please check.,0
Police notice: legal action has been initiated against your number. Contact us immediately. Verify now.,1
I will meet you near the college gate at 5 PM. Please check.,0
आपका ऑर्डर कल डिलीवर होगा।,0
Your UPI refund is waiting. Approve the payment request to receive the money. Complete this within one hour. Please use the official app to check.,1
Your internship interview is scheduled for Wednesday. See you then. Please use the official app to check.,0
The college seminar starts at 10 AM in the auditorium. Please confirm. Please use the official app to check.,0
Your Aadhaar verification failed. Share the OTP to complete verification. Do not delay.,1
Your electricity bill is due on the 20th. Let me know when you are free.,0
Your online banking password has expired. Confirm your password through this link. Act now.,1
Your hotel reservation is confirmed for Saturday. See you then.,0
Please remember to bring your ID card tomorrow. See you then.,0
The college bus leaves at 8 AM tomorrow. Thank you. Please use the official app to check.,0
The college seminar starts at 10 AM tomorrow.,0
The result will be published on the official portal.,0
Can you send me the project presentation? Thank you.,0
Please check the college portal for the exam timetable.,0
आपका ऑर्डर कल डिलीवर होगा। Please use the official app to check.,0
Your debit card has been used suspiciously. Share the OTP to block the transaction. Do this immediately. Please use the official app to check.,1
Your SIM card will be deactivated. Complete KYC using this link. Do not delay.,1
The teacher uploaded the assignment instructions. Please use the official app to check.,0
Please remember to bring your ID card tomorrow. Please confirm. Please use the official app to check.,0
Your UPI account is locked. Enter your PIN to reactivate it. Complete this within one hour. Please use the official app to check.,1
"ತಕ್ಷಣ KYC ಅಪ್‌ಡೇಟ್ ಮಾಡಿ, ಇಲ್ಲವಾದರೆ ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಖಾತೆ ಬಂದ್ ಆಗುತ್ತದೆ. Act now.",1
The teacher uploaded the assignment instructions. Please check.,0
The bank branch will remain closed on Sunday.,0
You won a festival gift voucher. Pay ₹99 to unlock your reward. Complete this within one hour.,1
Your flight booking has been confirmed.,0
Your food order has been delivered. See you then.,0
Please send the final version of the PPT.,0
Your parcel has reached the local delivery center. Let me know when you are free.,0
Your UPI account is locked. Enter your PIN to reactivate it. Act now.,1
Your parcel is held at customs. Pay the clearance charge to receive delivery. Failure to act may block the service. Please use the official app to check.,1
Your bank statement for July is available in the official banking app.,0
Please submit the assignment before Friday.,0
The assignment deadline has been extended by two days. See you then.,0
You have won a lucky draw. Send your bank details for prize transfer. Failure to act may block the service.,1
इनकम टैक्स रिफंड पाने के लिए बैंक की जानकारी इस लिंक पर भरें। Act now.,1
Government scholarship approved. Pay the document verification fee to receive the amount. Do not delay.,1
Please check the college portal for the exam timetable. Please check.,0
I reached college safely. I will call after class. Please confirm.,0
Your mobile recharge refund failed. Enter your UPI PIN for a refund. Complete this within one hour.,1
Your college fee receipt is available on the student portal.,0
The college bus leaves at 8 AM tomorrow. See you then. Please use the official app to check.,0
You have been shortlisted for a work-from-home job. Pay the registration fee to start. Verify now.,1
Please send me the notes from today's class. Thank you. Please use the official app to check.,0
Urgent bank alert: verify your debit card number and CVV.,1
Reminder: Your electricity bill is due on the 20th.,0
Your library book is due next Monday. Please confirm. Please use the official app to check.,0
The workshop registration is confirmed. Please confirm.,0
Your UPI payment of Rs 250 was successful.,0
Your mobile recharge was successful. Please check.,0
Your mobile recharge refund is pending. Enter UPI PIN to receive it.,1
The payment was declined. Please try again later.,0
Your UPI account is locked. Send OTP for unlocking.,1
Your UPI account is locked. Enter your PIN to reactivate it. Do this immediately.,1
Earn Rs 7000 daily through online trading. Guaranteed returns.,1
You won a festival gift voucher. Pay ₹99 to unlock your reward. Do not delay.,1
The assignment submission portal closes at midnight.,0
You have won a lucky draw. Send your bank details for prize transfer. Do not delay.,1
